Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11858,2025-10-28,schwarz-weiß erfurt,, ,1,zellin alina,7,3,6,11,-,1,-,-,.,.,5,1,-,2,40%,4
11858,2025-10-28,schwarz-weiß erfurt,, ,2,sandbothe elizabeth,8,7,6,9,1,-,-,-,.,.,17,1,-,6,35%,2
11858,2025-10-28,schwarz-weiß erfurt,, ,4,goertz lotte (l),-,-,-2,-,-,-,27,2,41%,19%,-,-,-,-,.,-
11858,2025-10-28,schwarz-weiß erfurt,, ,5,respaut emilie,3,2,-,16,3,-,-,-,.,.,1,-,-,1,100%,2
11858,2025-10-28,schwarz-weiß erfurt,, ,6,linke lena,2,1,-,10,1,1,-,-,.,.,3,-,1,1,33%,-
11858,2025-10-28,schwarz-weiß erfurt,, ,7,siebert sina,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11858,2025-10-28,schwarz-weiß erfurt,, ,8,feistritzer lea,12,3,7,19,-,-,21,2,19%,19%,35,2,1,10,29%,2
11858,2025-10-28,schwarz-weiß erfurt,, ,9,greskamp antonia,1,1,1,6,-,1,-,-,.,.,-,-,-,-,.,-
11858,2025-10-28,schwarz-weiß erfurt,, ,10,szücs kinga,14,6,5,14,1,-,30,1,60%,30%,41,3,4,13,32%,1
11858,2025-10-28,schwarz-weiß erfurt,, ,11,kovacic isabel,19,6,10,17,2,1,-,-,.,.,50,3,4,14,28%,4
11858,2025-10-28,schwarz-weiß erfurt,, ,14,alianza darley,2,1,1,-,-,-,-,-,.,.,7,1,-,2,29%,-
11858,2025-10-28,schwarz-weiß erfurt,, ,55,stauß mia anna,1,1,-,6,1,1,-,-,.,.,-,-,-,-,.,-
11858,2025-10-28,schwarz-weiß erfurt,, ,,totals,69,31,34,108,9,5,78,5,42%,23%,159,11,10,49,31%,15
