Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11858,2025-10-28,vc wiesbaden,, ,2,lópez rey cayetana,5,2,-5,7,1,-,23,2,35%,17%,20,2,5,4,20%,1
11858,2025-10-28,vc wiesbaden,, ,3,van der pijl pleun,11,4,2,15,4,1,26,-,42%,35%,26,2,3,9,35%,1
11858,2025-10-28,vc wiesbaden,, ,6,weinmann hanna,-,-,-,1,-,-,-,-,.,.,1,-,-,-,0%,-
11858,2025-10-28,vc wiesbaden,, ,8,dordevic jovana,-,-,-1,-,-,-,2,-,50%,0%,2,1,-,-,0%,-
11858,2025-10-28,vc wiesbaden,, ,9,sain rene (l),-,-,-1,-,-,-,13,1,46%,31%,-,-,-,-,.,-
11858,2025-10-28,vc wiesbaden,, ,10,broekstra laura,12,7,6,9,3,-,3,-,0%,0%,18,2,1,8,44%,4
11858,2025-10-28,vc wiesbaden,, ,11,konijnenberg sanne,6,2,6,12,-,1,-,-,.,.,8,-,-,4,50%,1
11858,2025-10-28,vc wiesbaden,, ,12,boom dagmar,6,3,-1,14,2,2,31,2,65%,32%,19,2,1,2,11%,2
11858,2025-10-28,vc wiesbaden,, ,13,bietau lilly,1,1,-,5,1,1,-,-,.,.,-,-,-,-,.,-
11858,2025-10-28,vc wiesbaden,, ,17,breitenbach kathi (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11858,2025-10-28,vc wiesbaden,, ,18,rieger marlene katharina,2,1,-3,16,2,-,1,-,0%,0%,9,2,1,1,11%,1
11858,2025-10-28,vc wiesbaden,, ,20,clayton hannah,-,-,-,1,-,-,-,-,.,.,3,-,-,-,0%,-
11858,2025-10-28,vc wiesbaden,, ,22,fernandez gayoso jimena,30,8,19,13,2,-,-,-,.,.,61,5,4,30,49%,-
11858,2025-10-28,vc wiesbaden,, ,,totals,73,28,22,93,15,5,99,5,46%,27%,167,16,15,58,35%,10
