"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"GrÃ¶Ãe";"Geschlecht";"Geburtsdatum";"Trikot";"StaatsangehÃ¶rigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Mogensen";"Mikala";"";"Mikala Mogensen";"Mogensen, Mikala";"184";"weiblich";"03.10.2001";"16";"DÃ¤nemark";"DK";"AuÃenangriff";"Ja";
"Jerkovic";"Tea";"";"Tea Jerkovic";"Jerkovic, Tea";"177";"weiblich";"29.05.2008";"19";"Deutschland";"DE";"Zuspiel";"Ja";
"Koulberg";"Anna";"";"Anna Koulberg";"Koulberg, Anna";"187";"weiblich";"17.08.2004";"9";"Belgien";"BE";"Mittelblock";"Ja";
"De Paula Viana";"Julia";"";"Julia De Paula Viana";"De Paula Viana, Julia";"190";"weiblich";"07.07.2005";"17";"Spanien";"ES";"AuÃenangriff";"Ja";
"Maleki";"Kiyarash";"";"Kiyarash Maleki";"Maleki, Kiyarash";"190";"mÃ¤nnlich";"19.02.1993";"";"Iran, Islamische Republik";"IR";"Co-Trainer (Scout)";"Nein";
"Zeithammel";"Gerhard";"Dr.";"Dr. Gerhard Zeithammel";"Dr. Zeithammel, Gerhard";"";"mÃ¤nnlich";"03.09.1962";"";"Deutschland";"DE";"Arzt";"Ja";
"Steinhilber";"Marie";"";"Marie Steinhilber";"Steinhilber, Marie";"191";"weiblich";"19.01.2007";"20";"Deutschland";"DE";"Mittelblock";"Ja";
"Stein";"Tim";"";"Tim Stein";"Stein, Tim";"186";"mÃ¤nnlich";"06.01.1998";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Mottis";"Fabiana";"";"Fabiana Mottis";"Mottis, Fabiana";"166";"weiblich";"09.08.2003";"7";"Schweiz (Confoederatio Helvetica)";"CH";"Libero";"Ja";
"PÃ¶tsch";"Alexander";"Dr.";"Dr. Alexander PÃ¶tsch";"Dr. PÃ¶tsch, Alexander";"";"mÃ¤nnlich";"25.12.1983";"";"Deutschland";"DE";"Arzt";"Ja";
"Slacanin";"Leilani";"";"Leilani Slacanin";"Slacanin, Leilani";"192";"weiblich";"28.10.2008";"2";"Deutschland";"DE";"AuÃenangriff";"Ja";
"Bamba";"Yurika";"";"Yurika Bamba";"Bamba, Yurika";"164";"weiblich";"16.09.1991";"4";"Japan";"JP";"Libero";"Ja";
"Grote";"Lydia";"";"Lydia Grote";"Grote, Lydia";"188";"weiblich";"14.05.2002";"5";"Vereinigte Staaten von Amerika";"US";"Diagonal";"Ja";
"Varela";"Lucia";"";"Lucia Varela";"Varela, Lucia";"198";"weiblich";"10.08.2003";"12";"Spanien";"ES";"Mittelblock";"Ja";
"Dalqvist";"Per-Erik";"";"Per-Erik Dalqvist";"Dalqvist, Per-Erik";"";"mÃ¤nnlich";"07.07.1980";"";"Schweden";"SE";"Co-Trainer";"Ja";
"Gross";"Jasmine";"";"Jasmine Gross";"Gross, Jasmine";"191";"weiblich";"30.05.1998";"3";"Vereinigte Staaten von Amerika";"US";"Mittelblock";"Ja";
"KÃ¤stner";"Pia";"";"Pia KÃ¤stner";"KÃ¤stner, Pia";"180";"weiblich";"29.06.1998";"10";"Deutschland";"DE";"Zuspiel";"Ja";
"Holthaus";"Eleanor Joyce";"";"Eleanor Joyce Holthaus";"Holthaus, Eleanor Joyce";"185";"weiblich";"05.04.2000";"8";"Vereinigte Staaten von Amerika";"US";"AuÃenangriff";"Ja";
"Martin";"Pauline";"";"Pauline Martin";"Martin, Pauline";"185";"weiblich";"04.09.2002";"11";"Belgien";"BE";"Diagonal";"Ja";
"Ramirez";"Daniel";"";"Daniel Ramirez";"Ramirez, Daniel";"190";"mÃ¤nnlich";"09.05.1981";"";"Spanien";"ES";"Co-Trainer (Scout)";"Ja";
"Stautz";"Antonia";"";"Antonia Stautz";"Stautz, Antonia";"180";"weiblich";"15.12.1993";"6";"Deutschland";"DE";"AuÃenangriff";"Ja";
"Schweser";"Celine";"";"Celine Schweser";"Schweser, Celine";"";"weiblich";"19.11.1999";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Pfalzer";"Florian";"Dr.";"Dr. Florian Pfalzer";"Dr. Pfalzer, Florian";"";"mÃ¤nnlich";"08.04.1980";"";"Deutschland";"DE";"Arzt";"Ja";
"Bitter";"Konstantin";"";"Konstantin Bitter";"Bitter, Konstantin";"186";"mÃ¤nnlich";"31.10.1989";"";"Deutschland";"DE";"Trainer";"Ja";
"Shaffmaster";"Melani";"";"Melani Shaffmaster";"Shaffmaster, Melani";"191";"weiblich";"13.07.2001";"15";"Vereinigte Staaten von Amerika"
