"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"GrÃ¶Ãe";"Geschlecht";"Geburtsdatum";"Trikot";"StaatsangehÃ¶rigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Gesquiere";"Amber";"";"Amber Gesquiere";"Gesquiere, Amber";"190";"weiblich";"11.12.2001";"8";"Belgien";"BE";"Mittelblock";"Ja";
"Huvers";"Fabienne";"";"Fabienne Huvers";"Huvers, Fabienne";"";"weiblich";"25.01.2002";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Hacker";"Lea";"";"Lea Hacker";"Hacker, Lea";"";"weiblich";"15.10.2006";"";"Deutschland";"DE";"Statistiker";"Ja";
"Rudde";"Hannah";"";"Hannah Rudde";"Rudde, Hannah";"176";"weiblich";"20.04.2006";"9";"Deutschland";"DE";"Zuspiel";"Ja";
"Konjer";"Chaine";"";"Chaine Konjer";"Konjer, Chaine";"180";"weiblich";"13.06.2003";"10";"Deutschland";"DE";"Zuspiel";"Ja";
"HÃ¶vels";"Sandra";"";"Sandra HÃ¶vels";"HÃ¶vels, Sandra";"182";"weiblich";"24.06.1998";"7";"Deutschland";"DE";"Mittelblock";"Ja";
"Hacker";"Lea";"";"Lea Hacker";"Hacker, Lea";"";"weiblich";"15.10.2006";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Luther";"Doreen";"";"Doreen Luther";"Luther, Doreen";"187";"weiblich";"27.03.1997";"3";"Deutschland";"DE";"Mittelblock";"Ja";
"Walkenhorst";"Kira-Katharina";"";"Kira-Katharina Walkenhorst";"Walkenhorst, Kira-Katharina";"186";"weiblich";"18.11.1990";"";"Deutschland";"DE";"Co-Trainer";"Ja";
"Demirer";"Melisa Nafia";"";"Melisa Nafia Demirer";"Demirer, Melisa Nafia";"168";"weiblich";"02.02.2004";"2";"Deutschland";"DE";"Libero";"Ja";
"Lange";"Tim";"";"Tim Lange";"Lange, Tim";"195";"mÃ¤nnlich";"24.05.2000";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"JÃ¼ditz";"Franz Josef";"";"Franz Josef JÃ¼ditz";"JÃ¼ditz, Franz Josef";"";"mÃ¤nnlich";"16.01.1960";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Brinkmann";"Danuta";"";"Danuta Brinkmann";"Brinkmann, Danuta";"172";"weiblich";"19.04.1964";"";"Deutschland";"DE";"Trainer";"Ja";
"Mohr";"Pia";"";"Pia Mohr";"Mohr, Pia";"182";"weiblich";"24.11.2002";"11";"Deutschland";"DE";"AuÃenangriff";"Ja";
"Bernhard";"Lena";"";"Lena Bernhard";"Bernhard, Lena";"184";"weiblich";"24.08.2001";"1";"Deutschland";"DE";"AuÃenangriff";"Ja";
"Coenders";"Fabienne";"";"Fabienne Coenders";"Coenders, Fabienne";"180";"weiblich";"12.12.1992";"12";"Niederlande";"NL";"AuÃenangriff";"Ja";
"Kretschmer";"Lara";"";"Lara Kretschmer";"Kretschmer, Lara";"189";"weiblich";"29.08.2001";"6";"Deutschland";"DE";"Mittelblock";"Ja";
"Piest";"Madleen";"";"Madleen Piest";"Piest, Madleen";"186";"weiblich";"15.06.1995";"15";"Deutschland";"DE";"AuÃenangriff";"Ja";
"Kastrup";"Liza";"";"Liza Kastrup";"Kastrup, Liza";"187";"weiblich";"05.10.1999";"17";"Deutschland";"DE";"Diagonal";"Ja";
"Hansen";"Ditte KjÃ¦r";"";"Ditte KjÃ¦r Hansen";"Hansen, Ditte KjÃ¦r";"160";"weiblich";"17.03.1997";"4";"DÃ¤nemark";"DK";"Libero";"Ja";
"Walkenhorst";"Kira-Katharina";"";"Kira-Katharina Walkenhorst";"Walkenhorst, Kira-Katharina";"186";"weiblich";"18.11.1990";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Klinkenbusch";"Holger";"";"Holger Klinkenbusch";"Klinkenbusch, Holger";"";"mÃ¤nnlich";"15.07.1977";"";"Deutschland";"DE";"Arzt";"Ja";
"Loker";"Marika";"";"Marika Loker";"Loker, Marika";"185";"weiblich";"12.03.2007";"5";"Deutschland";"DE";"Diagonal";"Ja";
"Lange";"Marius";"";"Marius Lange";"Lange, Marius";"";"mÃ¤nnlich";"13.03.1995";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Ohlms";"Arne";"";"Arne Ohlms";"Ohlms, Arne";"";"mÃ¤nnlich";"27.07.1981";"";"Deutschland";"DE";
