"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"GrÃ¶Ãe";"Geschlecht";"Geburtsdatum";"Trikot";"StaatsangehÃ¶rigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Foley";"Mackenzie";"";"Mackenzie Foley";"Foley, Mackenzie";"184";"weiblich";"26.01.2002";"8";"Vereinigte Staaten von Amerika";"US";"AuÃenangriff";"Ja";
"Nasin";"Alina";"";"Alina Nasin";"Nasin, Alina";"193";"weiblich";"01.02.2005";"17";"Deutschland";"DE";"Mittelblock";"Ja";
"BÃ¤rwinkel";"Stefan";"Dr. med.";"Dr. med. Stefan BÃ¤rwinkel";"Dr. med. BÃ¤rwinkel, Stefan";"";"mÃ¤nnlich";"29.11.1984";"";"Deutschland";"DE";"Arzt";"Ja";
"Ramos Mencia";"Irene del Carmen";"";"Irene del Carmen Ramos Mencia";"Ramos Mencia, Irene del Carmen";"185";"weiblich";"28.01.2005";"2";"Spanien";"ES";"Zuspiel";"Ja";
"Sambale";"Emma";"";"Emma Sambale";"Sambale, Emma";"171";"weiblich";"28.04.2003";"7";"Deutschland";"DE";"Libero";"Ja";
"Laakkonen";"Roosa";"";"Roosa Laakkonen";"Laakkonen, Roosa";"193";"weiblich";"04.06.1994";"4";"Finnland";"FI";"Mittelblock";"Ja";
"Dotson";"Sanaa";"";"Sanaa Dotson";"Dotson, Sanaa";"184";"weiblich";"01.11.2000";"9";"Vereinigte Staaten von Amerika";"US";"AuÃenangriff";"Ja";
"Hollosy";"Laszlo";"";"Laszlo Hollosy";"Hollosy, Laszlo";"";"mÃ¤nnlich";"12.11.1976";"";"Ungarn";"HU";"Trainer";"Ja";
"Lai";"Xiang-Chen";"";"Xiang-Chen Lai";"Lai, Xiang-Chen";"153";"weiblich";"19.03.1995";"20";"Republik China (Taiwan)";"TW";"Libero";"Ja";
"Kotulic";"Michal";"";"Michal Kotulic";"Kotulic, Michal";"";"mÃ¤nnlich";"15.12.1997";"";"Slowakei";"SK";"Co-Trainer (Scout)";"Ja";
"Naujack";"Svea";"";"Svea Naujack";"Naujack, Svea";"185";"weiblich";"27.02.2006";"1";"Deutschland";"DE";"AuÃenangriff";"Ja";
"Kotulic";"Michal";"";"Michal Kotulic";"Kotulic, Michal";"";"mÃ¤nnlich";"15.12.1997";"";"Slowakei";"SK";"Statistiker";"Ja";
"SchrÃ¶dter";"Sascha";"";"Sascha SchrÃ¶dter";"SchrÃ¶dter, Sascha";"";"mÃ¤nnlich";"09.04.1979";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Ruiz Rubio";"Alberto";"";"Alberto Ruiz Rubio";"Ruiz Rubio, Alberto";"";"mÃ¤nnlich";"11.06.1994";"";"Spanien";"ES";"Co-Trainer";"Ja";
"Nagels";"Lara";"";"Lara Nagels";"Nagels, Lara";"182";"weiblich";"03.06.1997";"3";"Belgien";"BE";"Zuspiel";"Ja";
"Brancuska";"Monika";"";"Monika Brancuska";"Brancuska, Monika";"188";"weiblich";"19.11.2004";"25";"Tschechische Republik";"CZ";"Diagonal";"Ja";
"Berger";"Laura";"";"Laura Berger";"Berger, Laura";"192";"weiblich";"12.11.2002";"11";"Deutschland";"DE";"Mittelblock";"Ja";
"Hartmann";"Hannah";"";"Hannah Hartmann";"Hartmann, Hannah";"190";"weiblich";"25.03.2005";"5";"Deutschland";"DE";
