data_sources,match_number,match_id,kickoff,is_home,team,opponent,opponent_short,host,location,result_summary,player_name,jersey_number,total_points,break_points,plus_minus,serves_attempts,serves_errors,serves_points,receptions_attempts,receptions_errors,receptions_positive,receptions_perfect,receptions_positive_pct,receptions_perfect_pct,attacks_attempts,attacks_errors,attacks_blocked,attacks_points,attacks_success_pct,blocks_points,stats_url,csv_path
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Bernhard Lena,1,10,1,0,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Coenders Fabienne,12,11,2,0,0,20,0,24,0,0,0,0.01,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Demirer Melisa Nafia,2,4,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Gesquiere Amber,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Hansen Ditte Kjær,4,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Hövels Sandra,7,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Kastrup Liza,17,0,0,0,0,7,0,12,0,0,0,0.02,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Konjer Chaine,10,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Kretschmer Lara,6,0,0,0,0,14,1,18,0,1,0,0.03,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
pdf,2003,,1975-06-27T00:00:00+01:00,False,Skurios Volleys Borken,VfB Suhl LOTTO Thüringen,Suhl,VfB Suhl LOTTO Thüringen,,0:3,Loker Marika,5,9,11,0,0,0,0,17,0,5,0,0.27,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/3ed816b2-85b1-4950-aa74-7af1ecf75d7b,
